Albacete - Provincia,provincia de Albacete
Almeria - Provincia,provincia de Almería
Badajoz - Provincia,provincia de Badajoz
Barcelona - Provincia,provincia de Barcelona
Caceres - Provincia,provincia de Cáceres
Cadis - Provincia,provincia de Cádiz
Conca - Provincia,provincia de Cuenca
Cordova - Provincia,provincia de Córdoba
Girona - Provincia,provincia de Girona
Granada - Provincia,provincia de Granada
Guadalajara - Provincia,provincia de Guadalajara
Guipuscoa - Provincia,provincia de Gipuzkoa
Huelva - Provincia,provincia de Huelva
Jaen - Provincia,provincia de Jaén
laCorunya - Provincia,provincia de A Coruña
Lleo - Provincia,provincia de León
Lugo - Provincia,provincia de Lugo
Madrid - Provincia,provincia de Madrid
Malaga - Provincia,provincia de Málaga
Murcia - Provincia,provincia de Murcia
Osca - Provincia,provincia de Huesca
Oviedo - Provincia,provincia de Oviedo
Saragossa - Provincia,provincia de Zaragoza
Sevilla - Provincia,provincia de Sevilla
Tarragona - Provincia,provincia de Tarragona
Terol - Provincia,provincia de Teruel
Toledo - Provincia,provincia de Toledo
